"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.010460750E0,-4.079289169E-1,-2.250295097E-1,6.453191847E-1
3.020507750E0,-4.079211694E-1,-2.061672691E-1,5.841555548E-1
3.030554750E0,-3.280305157E-1,-1.719382533E-1,5.139819503E-1
3.040602750E0,-2.669046369E-1,-1.468890738E-1,4.496263254E-1
3.050649750E0,-2.699478751E-1,2.623353302E-3,3.368042994E-1
3.060696750E0,-3.273160225E-1,1.851140767E-1,2.602753562E-1
3.070743750E0,-3.489817472E-1,3.035146388E-1,1.656165361E-1
3.080790750E0,-3.423808620E-1,3.514337406E-1,4.374302030E-2
3.090837750E0,-3.375075001E-1,2.958656037E-1,-1.256572491E-1
3.100884750E0,-2.793399835E-1,2.439133850E-1,-2.676457715E-1
3.110931750E0,-1.583443906E-1,1.858256829E-1,-3.834107012E-1
3.120978750E0,2.796594425E-2,7.648888975E-2,-4.502250803E-1
3.131026750E0,1.167728343E-1,-7.719114035E-2,-4.052126294E-1
3.141073750E0,9.703134606E-2,-1.439666355E-1,-3.081085038E-1
3.151120750E0,1.461433437E-1,-1.380340505E-1,-2.745536721E-1
3.161167750E0,2.725564094E-1,-1.152524212E-1,-3.805432266E-1
3.171214750E0,3.405132979E-1,-9.023013890E-2,-3.732815695E-1
3.181261750E0,3.152462000E-1,-4.209673673E-2,-2.842062557E-1
3.191308750E0,2.251980557E-1,5.221709758E-2,-2.081176078E-1
3.201355750E0,1.561933461E-1,1.684179372E-1,-1.617298919E-1
3.211402750E0,1.602603039E-1,2.557969737E-1,-1.450735134E-1
3.221450750E0,1.257966230E-1,2.688646236E-1,-9.687725365E-2
3.231497750E0,6.290338668E-3,2.935884055E-1,4.214673042E-2
3.241544750E0,-9.634538543E-2,3.148915663E-1,1.265068495E-1
3.251591750E0,-3.542369780E-2,2.316403717E-1,4.096676230E-2
3.261638750E0,9.632752402E-2,1.225506234E-1,-1.504453504E-1
3.271685750E0,2.204378557E-1,2.467232645E-2,-2.797284579E-1
3.281732750E0,2.296192633E-1,-5.021413386E-2,-2.468519032E-1
3.291779750E0,1.900385469E-1,-2.994768441E-2,-1.120905393E-1
3.301826750E0,1.565237686E-1,5.124441326E-2,-4.038028657E-2
3.311874750E0,1.739784565E-1,1.051487249E-1,-1.345321530E-1
3.321921750E0,1.786157005E-1,1.038798791E-1,-1.945035356E-1
3.331968750E0,8.254565500E-2,7.890086621E-2,-1.016082358E-1
3.342015750E0,-8.781586924E-2,1.260390723E-1,3.406120062E-2
3.352062750E0,-2.015765652E-1,2.274084494E-1,3.757479250E-2
3.362109750E0,-1.439467367E-1,1.882777128E-1,-8.246620595E-2
3.372156750E0,-1.052734533E-2,1.466405672E-1,-2.110622656E-1
3.382203750E0,3.769725970E-2,1.855646047E-1,-1.828623140E-1
3.392250750E0,-3.793021414E-3,2.115274116E-1,1.737909436E-2
3.402298750E0,-8.685821408E-2,1.863937399E-1,2.256083840E-1
3.412345750E0,-9.966143279E-2,2.427395564E-1,1.477433521E-1
3.422392750E0,-2.480776486E-2,2.556735975E-1,-1.210133904E-1
3.432439750E0,8.725213369E-2,1.985120943E-1,-3.676904619E-1
3.442486958E0,1.923547935E-1,1.430544698E-1,-4.263976765E-1
3.452533958E0,2.371636333E-1,1.019234008E-1,-2.054588789E-1
3.462580958E0,1.472750997E-1,9.913018584E-2,-4.692975283E-3
3.472627958E0,3.794905542E-2,1.553920949E-1,7.440406501E-2
3.482674958E0,7.854813749E-3,2.215238115E-1,9.501491547E-2
3.492722958E0,1.827300344E-2,2.414467371E-1,1.924903393E-3
3.502769958E0,2.649814694E-2,2.021449694E-1,-6.388784766E-2
3.512816958E0,4.808892678E-2,1.880590269E-1,-1.186674875E-1
3.522863958E0,1.012693075E-1,1.609390560E-1,-1.529888892E-1
3.532910958E0,1.377371672E-1,1.281531331E-1,-1.553815699E-1
3.542957958E0,1.435723870E-1,1.537870342E-1,-1.627098852E-1
3.553004958E0,1.132297597E-1,1.545460027E-1,-5.400956154E-2
3.563051958E0,2.763963307E-2,1.794221047E-1,8.878821552E-2
3.573098958E0,-2.275729480E-2,2.275572610E-1,9.010033071E-2
3.583146958E0,1.316921786E-2,2.356933692E-1,-5.237994254E-2
3.593193958E0,6.240667485E-2,1.837370574E-1,-2.278396815E-1
3.603240958E0,8.005488731E-2,1.351186287E-1,-2.769931304E-1
3.613287958E0,2.784431303E-2,1.255476138E-1,-1.690880281E-1
3.623334958E0,-2.013202745E-2,1.469086620E-1,-3.124459684E-2
3.633381958E0,-2.547102869E-2,1.735099849E-1,-6.854281604E-2
3.643428958E0,-1.302428001E-2,1.754383966E-1,-2.435610902E-1
3.653475958E0,5.248453461E-2,1.826737413E-1,-2.926350170E-1
3.663523958E0,3.147413660E-2,9.126012594E-2,2.830637097E-3
3.673570958E0,-2.087487051E-1,1.510423511E-1,3.116109860E-1
3.683617958E0,-2.834520562E-1,3.385932550E-1,3.383368546E-1
3.693664958E0,-8.575275228E-2,3.063584322E-1,6.985668540E-2
3.703711958E0,1.169213445E-1,2.003808644E-1,-1.417458630E-1
3.713758958E0,1.540124078E-1,2.013631967E-1,-1.149755555E-1
3.723805958E0,9.403163306E-2,1.993292427E-1,2.101957083E-2
3.733852958E0,2.705471965E-2,1.903072813E-1,2.044233370E-1
3.743899958E0,1.513146121E-2,1.901075989E-1,1.600388771E-1
3.753947958E0,6.565715116E-2,1.747162655E-1,-1.528941643E-1
3.763994958E0,1.132651445E-1,1.563565931E-1,-4.054535347E-1
3.774041958E0,8.373000853E-2,1.926906064E-1,-4.462039500E-1
3.784088958E0,-1.944239404E-2,2.337871769E-1,-3.603247243E-1
3.794135958E0,-7.958933017E-2,1.669768909E-1,-2.906405318E-1
3.804182958E0,-2.786822266E-2,7.739345402E-2,-2.107675660E-1
3.814229958E0,1.900124903E-2,8.663819432E-2,-1.417505407E-1
